Date,Open,High,Low,Close,Volume
01-01-2015,101.1341517,101.3108971,99.0264338,100.2397638,268125906
02-01-2015,100.6842108,100.8371102,99.47956464,99.75897415,129868750
05-01-2015,100.4372956,102.8182919,99.14407823,101.8985259,55361382
06-01-2015,102.4284225,102.690781,101.9009632,102.5358934,135679083
07-01-2015,102.2917542,102.8874233,101.9279475,102.1825883,162892245
08-01-2015,102.3602751,102.8738328,101.1631853,101.5964819,261101436
09-01-2015,103.974261,105.3241338,103.9046488,105.1079197,106354470
12-01-2015,104.0404386,104.2146131,103.4043632,103.8708614,284851881
13-01-2015,103.9790489,104.6387691,103.3342339,103.7236271,86744440
14-01-2015,104.7092513,105.272045,104.5306788,104.6885295,113709943
15-01-2015,104.7451046,104.8073617,103.6984618,104.3172999,248188981
16-01-2015,103.9037169,104.2511909,103.062964,104.0304297,255546875
19-01-2015,104.1879543,104.9866093,103.9156819,104.6972302,163713949
20-01-2015,101.922059,102.1835396,101.7414809,102.1332245,289092243
21-01-2015,100.8604574,101.2187596,99.26269494,99.62721247,121624573
22-01-2015,99.79782173,100.3243362,98.82989082,99.46446777,164783071
23-01-2015,98.14956526,99.05025224,97.41704222,98.7340254,283536892
26-01-2015,99.59604153,101.2028408,98.64690906,99.92846957,203735209
27-01-2015,98.33528411,99.50745251,96.49633186,97.28742973,284597720
28-01-2015,96.35250676,97.88855182,95.95980844,97.17531702,167801558
29-01-2015,97.79993106,98.18539814,97.37438585,98.12963472,279973252
30-01-2015,97.96218901,98.7533418,95.85628005,98.23281651,101339569
02-02-2015,98.11302184,98.37433989,97.486512,97.83043209,174195624
03-02-2015,96.55532739,98.15726937,94.69336459,96.03546494,152009693
04-02-2015,96.06795287,96.53379206,95.05464727,96.28773492,199402863
05-02-2015,96.87319981,97.16138064,95.55871586,96.35043664,271561510
06-02-2015,95.40799912,95.84105616,94.8089724,95.35825603,84524472
09-02-2015,95.34324336,96.14374686,94.5647218,95.24127325,71504730
10-02-2015,95.11794216,95.80201854,94.13305688,94.34737586,181168696
11-02-2015,93.83933117,94.80414907,93.00917706,93.57619963,78379113
12-02-2015,93.95285004,94.87234973,93.29737676,94.16357315,162472996
13-02-2015,96.51081787,98.79084196,94.89133184,95.81810944,232367110
16-02-2015,95.48364452,95.91931044,94.13074126,95.10977616,89899268
